Entity,Relationship,Value
Health care-associated diarrhea or recent antibiotic use (Disease or Syndrome) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),requires,"CDPCR / Clostridioides difficile Toxin, PCR, Feces (Diagnostic Procedure)"
Positive CDPCR result (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),excludes need for,Additional testing (Diagnostic Procedure)
Negative CDPCR result with persistent diarrhea (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),indicates consideration of,Additional testing (Diagnostic Procedure)
Suspected autoimmune thrombocytopenia (Disease or Syndrome) (Platelet_Antibody_Algorithm),prompts,Neonate age determination (Finding)
Neonate (<31 days) (Finding) (Platelet_Antibody_Algorithm),requires,"Maternal PLABN / Platelet Antibody Screen, Serum (Diagnostic Procedure)"
Neonate (≥31 days) (Finding) (Platelet_Antibody_Algorithm),requires,Autoantibody testing (Diagnostic Procedure)
Suspected alloimmune thrombocytopenia (Disease or Syndrome) (Platelet_Antibody_Algorithm),prompts,Neonate age determination (Finding)
Neonate (<31 days) (Finding) (Platelet_Antibody_Algorithm),requires,Maternal sample for platelet antibody testing (Diagnostic Procedure)
Neonate (≥31 days) (Finding) (Platelet_Antibody_Algorithm),requires,"PLABN / Platelet Antibody Screen, Serum (Diagnostic Procedure)"
Suspected malaria (Disease or Syndrome) (Malaria_Laboratory_Testing_Algorithm),requires,Rapid diagnostic test (Diagnostic Procedure)
Suspected malaria (Disease or Syndrome) (Malaria_Laboratory_Testing_Algorithm),requires,Microscopic examination of thick and thin blood films (Diagnostic Procedure)
Suspected malaria (Disease or Syndrome) (Malaria_Laboratory_Testing_Algorithm),can be evaluated by,Nucleic acid amplification test (Diagnostic Procedure)
Rapid diagnostic test (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),requires,Confirmatory test (Diagnostic Procedure)
Microscopic examination of thick and thin blood films (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),is gold standard for,Malaria diagnosis (Disease or Syndrome)
Positive rapid diagnostic test (Finding) (Malaria_Laboratory_Testing_Algorithm),is confirmed by,Microscopic examination of thick and thin blood films (Diagnostic Procedure)
Positive microscopic examination (Finding) (Malaria_Laboratory_Testing_Algorithm),requires,Additional testing (Diagnostic Procedure)
Additional testing (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),includes,MAL / Rapid Malaria/Babesia Smear (Diagnostic Procedure)
MAL / Rapid Malaria/Babesia Smear (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),confirms,Malaria diagnosis (Disease or Syndrome)
MAL / Rapid Malaria/Babesia Smear (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),quantifies,Percentage of parasitemia (Finding)
MAL / Rapid Malaria/Babesia Smear (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),is indicated for,Mixed infection with multiple Plasmodium species (Disease or Syndrome)
Additional testing (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),includes,Malaria PCR with Parasitemia Reflex (Diagnostic Procedure)
Malaria PCR with Parasitemia Reflex (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),is indicated for,Low parasite load (Finding)
Malaria PCR with Parasitemia Reflex (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),is indicated for,Poor morphology (Finding)
Malaria PCR with Parasitemia Reflex (Diagnostic Procedure) (Malaria_Laboratory_Testing_Algorithm),calculates,Percent parasitemia (Finding)
Negative microscopic examination result (Finding) (Malaria_Laboratory_Testing_Algorithm),triggers,Repeat testing every 12 to 24 hours for a total of 3 evaluations (Diagnostic Procedure)
Decreased free carnitine (C0) (Laboratory or Test Result) (Newborn-Screen-Decreased-Free-CarnitineCO),requires,"Plasma ammonia, blood gas, glucose, electrolytes, creatinine kinase, and liver function tests (Diagnostic Procedure)"
Decreased free carnitine (C0) (Laboratory or Test Result) (Newborn-Screen-Decreased-Free-CarnitineCO),requires,"Carnitine, Urine (Diagnostic Procedure)"
Decreased free carnitine (C0) (Laboratory or Test Result) (Newborn-Screen-Decreased-Free-CarnitineCO),requires,"Carnitine, Plasma or Serum (Diagnostic Procedure)"
Decreased free carnitine (C0) (Laboratory or Test Result) (Newborn-Screen-Decreased-Free-CarnitineCO),is consistent with,Carnitine uptake defect (Disease or Syndrome)
Carnitine uptake defect (Disease or Syndrome) (Newborn-Screen-Decreased-Free-CarnitineCO),warrants,Custom Gene Panel for SLC22A5 variants (Diagnostic Procedure)
Normal results (Laboratory or Test Result) (Newborn-Screen-Decreased-Free-CarnitineCO),indicate,False positive newborn screen (Finding)
Decreased free carnitine (C0) (Laboratory or Test Result) (Newborn-Screen-Decreased-Free-CarnitineCO),prompts evaluation to rule out,Maternal primary and secondary carnitine deficiency (Disease or Syndrome)
Decreased T-cell receptor excision circles (Finding) (Newborn_Screen_Follow-up_for_Severe_Combined_Immunodeficiency_Syndrome__SCID_),requires,CBC with differential (Diagnostic Procedure)
Decreased T-cell receptor excision circles (Finding) (Newborn_Screen_Follow-up_for_Severe_Combined_Immunodeficiency_Syndrome__SCID_),requires,Quantitative lymphocyte subsets (Diagnostic Procedure)
Decreased T-cell receptor excision circles (Finding) (Newborn_Screen_Follow-up_for_Severe_Combined_Immunodeficiency_Syndrome__SCID_),requires,CD4+ T-cell recent thymic emigrants measurement (Diagnostic Procedure)
All normal results (Finding) (Newborn_Screen_Follow-up_for_Severe_Combined_Immunodeficiency_Syndrome__SCID_),indicates,False-positive newborn screen (Finding)
Any abnormal result (Finding) (Newborn_Screen_Follow-up_for_Severe_Combined_Immunodeficiency_Syndrome__SCID_),requires,Referral to pediatric immunologist (Therapeutic or Preventive Procedure)
Vitamin B12 level >400 ng/L (Finding) (Vitamin_B12_Deficiency_Evaluation),rules out,Vitamin B12 deficiency (Disease or Syndrome)
Vitamin B12 level <150 ng/L (Finding) (Vitamin_B12_Deficiency_Evaluation),prompts,Intrinsic factor blocking antibody test (Diagnostic Procedure)
Positive intrinsic factor blocking antibody (Finding) (Vitamin_B12_Deficiency_Evaluation),indicates,Pernicious anemia (Disease or Syndrome)
Negative intrinsic factor blocking antibody (Finding) (Vitamin_B12_Deficiency_Evaluation),prompts,Gastrin test (Diagnostic Procedure)
Elevated gastrin (>200 pg/mL) (Finding) (Vitamin_B12_Deficiency_Evaluation),indicates,Pernicious anemia (Disease or Syndrome)
Normal gastrin (<200 pg/mL) (Finding) (Vitamin_B12_Deficiency_Evaluation),rules out,Pernicious anemia (Disease or Syndrome)
Vitamin B12 level 150-400 ng/L (Finding) (Vitamin_B12_Deficiency_Evaluation),prompts,Methylmalonic acid test (Diagnostic Procedure)
Elevated methylmalonic acid (>0.4 nmol/mL) (Finding) (Vitamin_B12_Deficiency_Evaluation),prompts,Intrinsic factor blocking antibody test (Diagnostic Procedure)
Normal methylmalonic acid (≤0.4 nmol/mL) (Finding) (Vitamin_B12_Deficiency_Evaluation),rules out,Vitamin B12 deficiency (Disease or Syndrome)
Cutaneous porphyria suspicion (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),prompts,"PPFE / Protoporphyrin Fractionation, Whole Blood (Diagnostic Procedure)"
Normal PPFE result (Finding) (Porphyria__Cutaneous__Testing_Algorithm),excludes,EPP (Disease or Syndrome)
Increased zinc protoporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),suggests,Iron deficiency anemia (Disease or Syndrome)
Increased zinc protoporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),suggests,Heavy metal toxicity (Disease or Syndrome)
Increased zinc protoporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),suggests,Anemia of chronic disease (Disease or Syndrome)
Increased free protoporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),indicates,EPP (Disease or Syndrome)
EPP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may warrant,Family studies (Diagnostic Procedure)
EPP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,"CGPH / Custom Gene Panel, Hereditary (Diagnostic Procedure)"
Increased free and zinc protoporphyrins (>40% zinc protoporphyrin) (Finding) (Porphyria__Cutaneous__Testing_Algorithm),suggests,XLDPP (Disease or Syndrome)
"Blistering lesions, skin fragility, scarring, hyperpigmentation (Finding) (Porphyria__Cutaneous__Testing_Algorithm)",prompts,"PQNRU / Porphyrins, Quantitative, Random, Urine (Diagnostic Procedure)"
Normal PQNRU result (Finding) (Porphyria__Cutaneous__Testing_Algorithm),excludes,PCT (Disease or Syndrome)
Normal PQNRU result (Finding) (Porphyria__Cutaneous__Testing_Algorithm),excludes,CEP (Disease or Syndrome)
Increased coproporphyrin and/or PBG and uroporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),prompts,"FQPPS / Porphyrins, Feces (Diagnostic Procedure)"
Increased uroporphyrin and coproporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),prompts,UPGG / Uroporphyrinogen III Synthase (Diagnostic Procedure)
Increased uroporphyrin and heptacarboxylporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),prompts,UPGD / Uroporphyrinogen Decarboxylase (Diagnostic Procedure)
Increased coproporphyrin III/I ratio (<10) and protoporphyrin (Finding) (Porphyria__Cutaneous__Testing_Algorithm),indicates,VP (Disease or Syndrome)
VP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may warrant,Family studies (Diagnostic Procedure)
VP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,CGPH (PPOX gene) (Diagnostic Procedure)
VP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,PCGP / Porphyria Comprehensive Gene Panel (Diagnostic Procedure)
Increased coproporphyrin III/I ratio (>10) and coproporphyrin III (Finding) (Porphyria__Cutaneous__Testing_Algorithm),indicates,HCP (Disease or Syndrome)
HCP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may warrant,Family studies (Diagnostic Procedure)
HCP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,CGPH (CPOX gene) (Diagnostic Procedure)
HCP (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,PCGP / Porphyria Comprehensive Gene Panel (Diagnostic Procedure)
Decreased Uroporphyrinogen III Synthase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),confirms,CEP (Disease or Syndrome)
Normal Uroporphyrinogen III Synthase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),excludes,CEP (Disease or Syndrome)
Decreased Uroporphyrinogen Decarboxylase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),confirms,PCT type II (Disease or Syndrome)
PCT type II (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may warrant,Family studies (Diagnostic Procedure)
PCT type II (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,CGPH (UROD gene) (Diagnostic Procedure)
PCT type II (Disease or Syndrome) (Porphyria__Cutaneous__Testing_Algorithm),may require,PCGP (Diagnostic Procedure)
Normal Uroporphyrinogen Decarboxylase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),excludes,PCT type II (Disease or Syndrome)
Normal Uroporphyrinogen Decarboxylase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),does not exclude,PCT type I (Disease or Syndrome)
Normal Uroporphyrinogen Decarboxylase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),does not exclude,PCT type III (Disease or Syndrome)
Normal Uroporphyrinogen Decarboxylase activity (Finding) (Porphyria__Cutaneous__Testing_Algorithm),prompts further evaluation with,PCGP (Diagnostic Procedure)
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,Plasma ammonia measurement (Diagnostic Procedure)
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,Blood gas measurement (Diagnostic Procedure)
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,Glucose test (Diagnostic Procedure)
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,Electrolyte panel (Diagnostic Procedure)
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,"Organic acids screen, random, urine (Diagnostic Procedure)"
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,"Acylcarnitine, quantitative, random, urine (Diagnostic Procedure)"
Elevated glutarylcarnitine (C5-DC) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),prompts,"Acylcarnitines, quantitative, plasma or serum (Diagnostic Procedure)"
Confirmatory findings of glutaric acidemia type I (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-DC),indicate need for,Custom gene panel for GCDH variants (Diagnostic Procedure)
Normal confirmatory results (Finding) (Newborn-Screen-Follow-up-Elevated-C5-DC),indicate,Stop further evaluation (Health Care Activity)
Elevated citrulline (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires,Plasma ammonia (Diagnostic Procedure)
Elevated citrulline (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires,Plasma lactate (Diagnostic Procedure)
Elevated citrulline (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires,"Amino Acids, Quantitative, Plasma (Diagnostic Procedure)"
Elevated citrulline (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires,"Organic Acids Screen, Random, Urine (Diagnostic Procedure)"
Laboratory findings (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),may indicate,Citrullinemia type I (Disease or Syndrome)
Laboratory findings (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),may indicate,Citrullinemia type II (Disease or Syndrome)
Laboratory findings (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),may indicate,Argininosuccinic acidemia (Disease or Syndrome)
Laboratory findings (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),may indicate,Pyruvate carboxylase deficiency (Disease or Syndrome)
Laboratory findings (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),may indicate,Normal (Finding)
Argininosuccinic acidemia (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires confirmatory testing with,Urea Cycle Disorders Gene Panel (Diagnostic Procedure)
Pyruvate carboxylase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires confirmatory testing with,"Custom Gene Panel, Hereditary, Next-Generation Sequencing (Diagnostic Procedure)"
Normal (Finding) (Newborn-Screen-Follow-up-Elevated-Citrulline),requires,Stop (Behavior)
Multiple myeloma screening (Diagnostic Procedure) (Multiple_Myeloma_Laboratory_Screening),includes,Complete blood cell count (Diagnostic Procedure)
Multiple myeloma screening (Diagnostic Procedure) (Multiple_Myeloma_Laboratory_Screening),includes,Calcium (Diagnostic Procedure)
Multiple myeloma screening (Diagnostic Procedure) (Multiple_Myeloma_Laboratory_Screening),includes,"Immunoglobulin Free Light Chains, Serum (Diagnostic Procedure)"
Multiple myeloma screening (Diagnostic Procedure) (Multiple_Myeloma_Laboratory_Screening),includes,"Monoclonal Protein Study, Quantitative, Serum (Diagnostic Procedure)"
Multiple myeloma screening (Diagnostic Procedure) (Multiple_Myeloma_Laboratory_Screening),includes,"Albumin, Serum (Diagnostic Procedure)"
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Multiple myeloma (Disease or Syndrome)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Smoldering multiple myeloma (Disease or Syndrome)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Monoclonal gammopathy of undetermined significance (Disease or Syndrome)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Light chain MGUS (Disease or Syndrome)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Immunoglobulin light chain (AL) amyloidosis (Disease or Syndrome)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),requires further testing,Serum immunoglobulins (Diagnostic Procedure)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),requires further testing,Bone imaging (CT skeletal survey) (Diagnostic Procedure)
Monoclonal immunoglobulins (Finding) (Multiple_Myeloma_Laboratory_Screening),requires further testing,"Monoclonal Protein Studies, 24 Hour, Urine (Diagnostic Procedure)"
Positive baseline tests (Finding) (Multiple_Myeloma_Laboratory_Screening),requires consultation,Hematology consultation (Healthcare Activity)
Positive baseline tests (Finding) (Multiple_Myeloma_Laboratory_Screening),leads to,Bone marrow biopsy (Diagnostic Procedure)
Positive baseline tests (Finding) (Multiple_Myeloma_Laboratory_Screening),leads to,Fat biopsy (Diagnostic Procedure)
Suspected amyloidosis (Disease or Syndrome) (Multiple_Myeloma_Laboratory_Screening),requires,Subcutaneous Fat Aspirate with Congo red stain (Diagnostic Procedure)
Positive amyloidosis fat aspirate (Finding) (Multiple_Myeloma_Laboratory_Screening),refers to,"Algorithm for Amyloidosis, Laboratory Approach to Diagnosis (Guideline)"
Diagnosis of MM or SMM (Disease or Syndrome) (Multiple_Myeloma_Laboratory_Screening),requires prognostic evaluation with,International Staging System (Diagnostic Procedure)
Diagnosis of MM or SMM (Disease or Syndrome) (Multiple_Myeloma_Laboratory_Screening),requires prognostic evaluation with,"Beta-2 Microglobulin, Serum (Diagnostic Procedure)"
Diagnosis of MM or SMM (Disease or Syndrome) (Multiple_Myeloma_Laboratory_Screening),requires prognostic evaluation with,"Lactate Dehydrogenase, Serum (Diagnostic Procedure)"
Diagnosis of MM or SMM (Disease or Syndrome) (Multiple_Myeloma_Laboratory_Screening),requires prognostic evaluation with,"Plasma Cell Assessment, Blood (Diagnostic Procedure)"
Diagnosis of MM or SMM (Disease or Syndrome) (Multiple_Myeloma_Laboratory_Screening),requires prognostic evaluation with,"Mayo Algorithmic Approach for Stratification of Myeloma and Risk-Adapted Therapy Report, Bone Marrow (Diagnostic Procedure)"
Monoclonal IgM (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,IgM MGUS (Disease or Syndrome)
Monoclonal IgM (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Waldenström macroglobulinemia (Disease or Syndrome)
Monoclonal IgM (Finding) (Multiple_Myeloma_Laboratory_Screening),suggests differential diagnosis,Other lymphoproliferative disorders (Disease or Syndrome)
Elevated C4 and C5 acylcarnitines (Finding) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),prompts,"Measurement of plasma ammonia, blood gas, glucose, electrolytes (Diagnostic Procedure)"
Elevated C4 and C5 acylcarnitines (Finding) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),requires,"Organic acids screen, random, urine (Diagnostic Procedure)"
Elevated C4 and C5 acylcarnitines (Finding) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),requires,"Acylglycines, quantitative, random, urine (Diagnostic Procedure)"
Elevated C4 and C5 acylcarnitines (Finding) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),requires,"Acylcarnitines, quantitative, plasma or serum (Diagnostic Procedure)"
Results consistent with glutaric aciduria type 2 (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),warrant,Glutaric Aciduria Type II Gene Panel (Diagnostic Procedure)
Results consistent with ethylmalonic acid encephalopathy (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),prompt,"Custom Gene Panel, Hereditary, Next Generation Sequencing (Diagnostic Procedure)"
Normal results (Finding) (Newborn-Screen-Follow-up-Elevated-C4-C5-Acylcarnitine-Elevated-Acylcarnitines),indicate,No further intervention (Procedure)
Pediatric Autoimmune Encephalopathy/CNS Disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),initial_screening_includes,Immunofluorescence Assay (CBA) (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS Disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),initial_screening_includes,Immunofluorescence Assay (IFA) (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS Disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),initial_screening_includes,Radioimmunoprecipitation Assay (RIA) (Diagnostic Procedure)
Pediatric Autoimmune Encephalopathy/CNS Disorder (Disease or Syndrome) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),initial_screening_includes,Fluorescence-Activated Cell Sorting (FACS) (Diagnostic Procedure)
Positive DPPX CBA result (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,DPPX antibody IF titer assay (Diagnostic Procedure)
Positive GABA-B-R CBA result (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,GABA-B-R IF titer assay (Diagnostic Procedure)
Positive NMDA-R CBA result (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,NMDA-R IF titer assay (Diagnostic Procedure)
Positive AMPA-R CBA result (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,AMPA-R antibody IF titer assay (Diagnostic Procedure)
IFA pattern suggestive of ANNA-1 (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,ANNA-1 immunoblot (Diagnostic Procedure)
IFA pattern suggestive of ANNA-1 (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,ANNA-2 immunoblot (Diagnostic Procedure)
IFA pattern suggestive of ANNA-1 (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,ANNA-1 IF titer assay (Diagnostic Procedure)
IFA pattern suggestive of PCA-Tr (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,PCA-T immunoblot (Diagnostic Procedure)
IFA pattern suggestive of PCA-Tr (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,PCA-Tr antibody IF titer assay (Diagnostic Procedure)
IFA pattern suggestive of GFAP antibody (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,GFAP sigma subunit antibody CBA (Diagnostic Procedure)
IFA pattern suggestive of GFAP antibody (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,GFAP alpha subunit antibody IF titer assay (Diagnostic Procedure)
IFA pattern suggestive of mGluR1 antibody (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,mGluR1 antibody CBA (Diagnostic Procedure)
IFA pattern suggestive of mGluR1 antibody (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,mGluR1 antibody IF titer assay (Diagnostic Procedure)
IFA pattern suggestive of Neurochondrin antibody (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,Neurochondrin antibody CBA (Diagnostic Procedure)
IFA pattern suggestive of Neurochondrin antibody (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,Neurochondrin antibody IF titer assay (Diagnostic Procedure)
Radioimmunoprecipitation Assay (RIA) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),detects,GAD65 antibody (Finding)
Fluorescence-Activated Cell Sorting (FACS) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),detects,NMO/AQP4-IgG (Finding)
Fluorescence-Activated Cell Sorting (FACS) (Diagnostic Procedure) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),detects,MOG-IgG-1 (Finding)
Positive NMO/AQP4-IgG result (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,NMO/AQP4-IgG FACS titer assay (Diagnostic Procedure)
Positive MOG-IgG-1 result (Finding) (Pediatric Autoimmune Encephalopathy Central Nervous System Disorders Evaluation Algorithm-Serum),triggers,MOG-IgG-1 FACS titer assay (Diagnostic Procedure)
Elevated arginine (Finding) (Newborn-Screen-Follow-up-Elevated-Arginine),prompts,Plasma ammonia measurement (Diagnostic Procedure)
Elevated arginine (Finding) (Newborn-Screen-Follow-up-Elevated-Arginine),prompts,"Amino Acids, Quantitative, Plasma (Diagnostic Procedure)"
Elevated arginine (Finding) (Newborn-Screen-Follow-up-Elevated-Arginine),prompts,"Organic Acids, Screen, Random, Urine (Diagnostic Procedure)"
Elevated arginine (Finding) (Newborn-Screen-Follow-up-Elevated-Arginine),prompts,"ACHT / Organic Acids, Random, Urine (Diagnostic Procedure)"
Test results consistent with argininemia (Finding) (Newborn-Screen-Follow-up-Elevated-Arginine),prompts,"Gene Panel: Hereditary, Next-Generation Sequencing (Diagnostic Procedure)"
Normal result (Finding) (Newborn-Screen-Follow-up-Elevated-Arginine),leads to,Stop further evaluation (Health Care Activity)
Elevated methionine (Finding) (Newborn-Screen-Follow-up-Elevated-Methionine),leads to ordering of,"Amino Acids, Quantitative, Plasma (Diagnostic Procedure)"
Elevated methionine (Finding) (Newborn-Screen-Follow-up-Elevated-Methionine),leads to ordering of,"Homocysteine, Total, Plasma (Diagnostic Procedure)"
Amino acid and homocysteine results (Finding) (Newborn-Screen-Follow-up-Elevated-Methionine),are consistent with,Homocystinuria (Disease or Syndrome)
Homocystinuria (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Methionine),requires confirmatory genetic testing with,CBS Gene Panel (Diagnostic Procedure)
Amino acid and homocysteine results (Finding) (Newborn-Screen-Follow-up-Elevated-Methionine),are consistent with,Hypermethioninemia (Disease or Syndrome)
Hypermethioninemia (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Methionine),requires further evaluation for,Adenylosuccinate lyase deficiency (Disease or Syndrome)
Hypermethioninemia (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Methionine),requires further evaluation for,Argininosuccinic acid synthase deficiency (Disease or Syndrome)
Hypermethioninemia (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Methionine),requires further evaluation for,Methyladenosyltransferase I/III deficiency (Disease or Syndrome)
Hypermethioninemia (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Methionine),requires confirmatory genetic testing with,"AHCY, GNMT, MAT1A Gene Panel (Diagnostic Procedure)"
Immunocompetent with abnormal liver enzyme levels (Finding) and risk for hepatitis E virus (Virus) (Testing_Algorithm_for_the_Diagnosis_of_Hepatitis_E),requires,Hepatitis E Virus IgM Antibody Screen with Reflex to Confirmation (Diagnostic Procedure)
